Address Title,Address Code,Address Line 1,City,Postal Code,Destination Address
10129676,Bikanerval Foods Private Limited,"Bikanervala Foods Private Limited M MURAD GARHI, Yamuna Expressway  Industrial Development Area Noida UP UTTAR PRADESH",NOIDA,203209,TRUE
BIKANO,BIKANERVALA FOODS PRIVATE LIMITED,"PLOT NO-21, SECTOR-24, FARIDABAD, FARIDABAD HARYANA ",FARIDABAD,121001,TRUE
RAI,Bikanervala Foods Pvt. Ltd.,"HSIIDC Industrial Estate, Phase-II, Plot no-2272-2275, Rai Haryana",RAI,131029,TRUE
29000563,Bikanerwala Food Pvt Ltd,"Khasra No 1765,66,68,69,70,71,72,73,74,75, 1872, 1873/2 &1874/2, Village Jatola, Tehsil Kharkhauda, Kharkhoda, Sonipat, Haryana",SONIPAT,131 402,TRUE
BNG,BNG FASHION GEARS. PVT.LTD,"Plot No- 319,320, Sec-17, HSIIDC, Bahadurghar, HR ",BAHADURGARH,124507,TRUE
MISC-009,BOTAD,BOTAD,BOTAD,NA,TRUE
BHRT,BRIJ HONEY PRIVATE LIMITED,"VILLAGE TEHRA LODHA NH 11 AGRA HIGHWAY BHARATPUR,RAJASTHAN INDIA",BHARATPUR,321001,TRUE
SL43,Burhanpur,Central Warehouse Godown No 1 Bhadurpur Road,BURHANPUR,450331,TRUE
PL-BHILWAR,"Calvintex Ventures Private Limited, BHILWARA","Mandapiya Choaraha , Chittor Road,Near Janki Process , Bhilwara ",BHILWARA,311001,TRUE
PALGHAR,Canbara,"canbara ind pvt Ltd,Unit-3 1017/3, old satpati road, Shirgaon,palghar(w),dis-palghar-401404",PALGHAR,401404,TRUE
222084005,CAPITAL FOOTWEAR INDUSTRIES,"Capital Footwear Industries, Ganga Vihar Colony, Tajganj Agra UP ",AGRA,282001,TRUE
T5JK,Central Warehouse,"Kapadra Near GEB Office,Varanchha Road CWC Surat II,Surat City GUJARAT",SURAT,395006,TRUE
TBGR,"Centro Mall, Panchavati Rd","beside Kaivanna Complex, Panchavati Society, Ambawadi, Ahmedabad, Gujarat",AHMEDABAD,380006,TRUE
